,cycle_pct_through,cycle_days_since_peak,cycle_mean_length,cycle_last_min_cents,cycle_last_max_cents,cycle_peak_count,station_price_cents,station_minus_last_min_cents,station_minus_last_max_cents,station_minus_sydney_avg_cents,lga_mean_cents,station_minus_lga_mean_cents,brand_mean_cents,station_minus_brand_mean_cents,stickiness_score,days_since_trough_entry_bayside,days_since_trough_entry_blacktown,days_since_trough_entry_blue_mountains,days_since_trough_entry_botany_bay,days_since_trough_entry_burwood,days_since_trough_entry_camden,days_since_trough_entry_campbelltown,days_since_trough_entry_canada_bay,days_since_trough_entry_canterbury_bankstown,days_since_trough_entry_cumberland,days_since_trough_entry_fairfield,days_since_trough_entry_georges_river,days_since_trough_entry_hawkesbury,days_since_trough_entry_hornsby,days_since_trough_entry_hunters_hill,days_since_trough_entry_inner_west,days_since_trough_entry_ku_ring_gai,days_since_trough_entry_lane_cove,days_since_trough_entry_liverpool,days_since_trough_entry_mosman,days_since_trough_entry_north_sydney,days_since_trough_entry_northern_beaches,days_since_trough_entry_parramatta,days_since_trough_entry_penrith,days_since_trough_entry_randwick,days_since_trough_entry_rockdale,days_since_trough_entry_ryde,days_since_trough_entry_strathfield,days_since_trough_entry_sutherland_shire,days_since_trough_entry_sydney,days_since_trough_entry_the_hills_shire,days_since_trough_entry_waverley,days_since_trough_entry_willoughby,days_since_trough_entry_wollondilly,days_since_trough_entry_woollahra
cycle_pct_through,1.0,0.5631277927463858,-0.2970331499840972,-0.14467713416521832,0.21150704752584887,0.09692908332175604,-0.09091400389334921,0.2380555059277614,-0.07931222904829133,0.016763381539123698,-0.372212822913475,0.05419254794754433,-0.07920666255333256,-0.0068098263165010855,0.051774799073058105,,0.08760418562144154,0.13378342038394272,,0.37133679899262356,0.35650156273629086,-0.05597001263044081,-0.2928992010055541,0.19541544679435494,0.13695865051437314,0.29653186373013385,0.3835741120058908,0.41870220543306463,0.5117914895181197,,-0.04829558137110615,-0.18880757451635521,,0.2234355028419572,0.41761906805547083,0.4911733258704475,0.13513017962674861,0.27010812628058256,0.3951434255360595,0.5349743894699468,0.33394304522915785,0.014132464535143654,0.3609747632968904,-0.056850445171188216,0.43028147911635345,-0.4321914355836482,,-0.015624218128436921,0.17938395161224607,0.39447542404778363
cycle_days_since_peak,0.5631277927463858,1.0,0.08383792769983346,-0.43228287920093295,-0.08947447902703494,0.0711287328546821,0.08053232524688564,0.35315713135616855,0.08833256107930547,0.09728839726367661,-0.46027894742958453,-0.049283935630578694,0.08189251167687285,-0.07422184170880622,0.07077728711692693,,-0.07314970795519839,0.4150453546000768,,0.2373856251815727,0.29907183156141487,-0.1754835170670304,0.056387134736712384,0.17093012396367893,0.4494373288839718,0.040703966316417185,0.25346879755046015,0.4929997128586166,0.27594660020986633,,0.03551330764300346,0.18849327703594673,,0.06818202859653713,0.173036943801458,0.009429058164085288,-0.02855509493665472,0.42362716458089933,0.0674071990433643,0.4136886370955094,0.11409076709596637,0.012982604210161884,0.27322552705897224,0.08006771757587555,0.03727376043260134,0.05941072415668473,,0.28544610745340504,0.29720064398795176,0.15226973943257324
cycle_mean_length,-0.2970331499840972,0.08383792769983346,1.0,-0.010471407870230893,-0.24043669131789186,-0.02344629596691034,0.6559706499462107,0.42433244843218904,0.61495867088202,-0.23131363862486043,-0.08648333884948615,0.18803234652095002,0.408642235393101,0.05464859519143205,-0.24402306477450236,,-0.3409275120339062,0.48074803213359585,,-0.2925649388395121,-0.09698776742980061,-0.1932640127035828,0.5022337849682875,-0.21014235769643527,0.47603015806743443,-0.35300622727704334,-0.24440195166454337,0.18176882064706948,-0.42339478301105277,,0.3065544876985136,0.5719127673945145,,-0.3452741847983797,-0.5224488924192615,-0.4222432114375117,-0.29068276333953424,0.18862499250546025,-0.41107716258804866,-0.2445818340149428,-0.46782524543693377,-0.037584135273123424,-0.33818226561137515,0.30862797529578534,-0.4594163549250727,0.37475292997388426,,0.4451911290284284,0.2988347021727733,-0.3907887741030682
cycle_last_min_cents,-0.14467713416521832,-0.43228287920093295,-0.010471407870230893,1.0,0.5073080619804045,0.2633418666401118,0.020055998451780133,-0.18582935200363965,-0.042922604439557546,-0.13816846317744752,0.4320492408796956,0.10548113720492713,-0.01412132082123628,0.05992653640092556,-0.08168554599664252,,0.04005245323543324,-0.3481394390532334,,-0.07001766705489032,-0.23657242972257278,0.13494176329386673,-0.15775226636761433,-0.10009133459482282,-0.07247666082346324,0.08243540753996347,-0.23539891957824696,-0.36045918936472493,-0.06524464061924397,,-0.0646265005386019,-0.17244581013762164,,-0.029299655081886828,0.0699164432776159,0.16515905911459985,0.05936680548763809,-0.29735986471412307,0.05291494079738209,-0.04330614709535776,0.034970230028421506,0.04761658364655838,-0.08380945084017126,-0.17444747514798317,0.15032059688203592,-0.07353406702169578,,-0.06731332758812529,0.02677403440085563,-0.2028766019272998
cycle_last_max_cents,0.21150704752584887,-0.08947447902703494,-0.24043669131789186,0.5073080619804045,1.0,-0.04628963450179856,0.15614609118990477,0.17477593500251865,0.1311518169832382,-0.29990499867932335,0.14691274703640958,0.30860837038798067,0.09355706081796357,0.23558074558632208,-0.051244862249440665,,0.24950857841448887,-0.29888832810914445,,0.34827792825372766,0.19581559246554048,0.17132455536608798,-0.20528889376366238,0.2377446080982802,0.05077294198561918,0.28140055791021146,0.23242048320560205,-0.11547818402414854,0.4362883242738858,,-0.23183667738242206,-0.22150459221378474,,0.2480215507855719,0.38917909435496945,0.3702314618075305,0.19454886360747986,0.012789302599321376,0.27929881125096906,0.4409834904326149,0.4083942000320275,0.05105975430795242,0.36611479402349284,-0.08013852976921097,0.38070980099958907,-0.2649660767548407,,-0.0073084733980376595,0.3036431615834317,0.396836944801974
cycle_peak_count,0.09692908332175604,0.0711287328546821,-0.02344629596691034,0.2633418666401118,-0.04628963450179856,1.0,-0.35227692767709706,-0.3277158137444826,-0.42202400724407485,0.28698202387387,0.05842828178052613,-0.3552182174888207,-0.14213888663804403,-0.25190784900464863,0.29825808941106297,,-0.057857814161745916,-0.051503939253200404,,0.05453749191918451,-0.00432353856655546,-0.18580945562437953,0.035995465917021685,-0.05316548778230312,0.06461030346073111,-0.0028624747080357826,-0.11844001695965999,0.06040477823361227,-0.1725780328673841,,-0.03415166182794311,-0.020920919194431477,,-0.1404702080258663,-0.21083788188526723,0.042705869964874625,-0.09878709019817947,-0.016690261441249698,0.06274587530096919,0.005869938616435115,-0.18948474701332635,0.15635542289703377,-0.2424226871419699,-0.07626065534789116,0.05330649744494099,-0.026449578176798563,,-0.10834110284192994,-0.050256583559626485,-0.22697481209388656
station_price_cents,-0.09091400389334921,0.08053232524688564,0.6559706499462107,0.020055998451780133,0.15614609118990477,-0.35227692767709706,1.0,0.8317727137364673,0.9637830119321941,-0.5786451427945265,-0.13972440569746777,0.5641752507678722,0.49996273506888594,0.39344865105112864,-0.2679808074737284,,-0.01648776493478951,0.2633593963518087,,0.08798777804680225,0.11948823391440026,-0.07653170202337047,0.3140368485512951,0.07639647941676238,0.41420959533789514,-0.07630133643678065,0.0344898764441767,0.16365647402883926,0.09003840489836745,,0.1104709224706751,0.33971832442931316,,-0.023576974150961147,-0.0778756461771827,-0.02417949970648143,-0.06091776516831889,0.1699820407283642,-0.1176739058521914,0.11350724033618775,-0.020544791467409753,0.008020636647702174,0.13133135178523606,0.2225841968266974,-0.10454118549222569,0.1609827033364743,,0.35311322423742175,0.5422429241640753,-0.10037357019859501
station_minus_last_min_cents,0.2380555059277614,0.35315713135616855,0.42433244843218904,-0.18582935200363965,0.17477593500251865,-0.3277158137444826,0.8317727137364673,1.0,0.8569936038907743,-0.6044617394311183,-0.4517972958930291,0.5894743810143687,0.4087294812410182,0.43785874714014705,-0.24834248730319908,,0.06358850253489742,0.2891755666907664,,0.29839000116360187,0.2769893444341168,-0.09707140539681744,0.16977757188057646,0.19952119070831764,0.45498043126600524,0.09560944050874534,0.23424951029752755,0.34005493641761986,0.33915716194121026,,0.02994347005658111,0.25336449397904803,,0.13304044849461205,0.1398150516002269,0.15626553474475646,0.017919988957839292,0.2972608641234482,0.08283690763185267,0.35769368149071384,0.20618324632268373,0.039945750640151045,0.33525795352307775,0.16345119980241948,0.08417584853811556,-0.00041640458196245413,,0.3141436968723536,0.5681399753357403,0.07251790053016821
station_minus_last_max_cents,-0.07931222904829133,0.08833256107930547,0.61495867088202,-0.042922604439557546,0.1311518169832382,-0.42202400724407485,0.9637830119321941,0.8569936038907743,1.0,-0.5818083593890958,-0.18829336564284938,0.5886218755065777,0.4925876873600797,0.4034224544248763,-0.273259402760609,,-0.028495582743822682,0.2880952485731642,,0.0861110685962705,0.09087793521754939,-0.04916887180404647,0.2628620566345538,0.06379075990610114,0.41231761885758117,-0.025676829686991944,0.08840577532293367,0.1491095861693262,0.12818270985067132,,0.1257386354427985,0.32111234603623057,,0.0077599209266527094,-0.01120388888812879,0.0007181605641539255,-0.059931922831057416,0.17910410118336995,-0.1210110677908,0.1112942323101384,0.044254131446451794,-0.03419083433474922,0.15716808175947786,0.22861523047208934,-0.08447033162878921,0.12124370781456728,,0.33225023603178017,0.5190230460828006,-0.04521529830556833
station_minus_sydney_avg_cents,0.016763381539123698,0.09728839726367661,-0.23131363862486043,-0.13816846317744752,-0.29990499867932335,0.28698202387387,-0.5786451427945265,-0.6044617394311183,-0.5818083593890958,1.0,0.13826925304323842,-0.5664952375958267,-0.14245333066353347,-0.4011775705726561,0.3616761365782467,,-0.09400522278904187,0.19893437290666766,,-0.08449512235665797,-0.05147943840747266,0.02408470724953965,0.0821018181035841,-0.02865503140010042,0.011553034147042947,-0.13057247656375726,-0.02621752042401846,0.09304197749376686,-0.1474365504817341,,0.03349819284194633,0.13517848304529273,,-0.06901586053597165,-0.06579173340935841,-0.1380181441715129,-0.08094974492342047,0.0983143557935719,-0.06402026718148984,-0.07888079019565927,-0.10632671587344576,-0.02213696382718118,-0.13316622156865532,0.17794973613841616,-0.09261868806834708,0.1405462243086641,,0.02674921471149711,-0.18337512554826102,0.01363445371464327
lga_mean_cents,-0.372212822913475,-0.46027894742958453,-0.08648333884948615,0.4320492408796956,0.14691274703640958,0.05842828178052613,-0.13972440569746777,-0.4517972958930291,-0.18829336564284938,0.13826925304323842,1.0,-0.04265954592149804,-0.14259581832224297,-0.06165877219918551,0.05165578614056114,,0.01424440592308806,-0.36505203020034016,,-0.18382241490920467,-0.21794858994664293,0.07839059107369789,-0.02490608249128956,-0.13076626293523047,-0.30833651368077025,-0.0952530162574407,-0.16675086712177797,-0.42302254768244724,-0.20593858462780223,,-0.03901264986435935,-0.15687022938865472,,-0.12319912278730982,-0.13198950171787538,-0.07842998519972268,0.03693188867911779,-0.3577549894021007,-0.11105023480367666,-0.25252162880234896,-0.16107788839660542,-0.01025969413362222,-0.23556502466910328,-0.16022415870764056,-0.0643655087868593,0.023816902340243782,,-0.16389163070952945,-0.14194366008414772,-0.1119071784724715
station_minus_lga_mean_cents,0.05419254794754433,-0.049283935630578694,0.18803234652095002,0.10548113720492713,0.30860837038798067,-0.3552182174888207,0.5641752507678722,0.5894743810143687,0.5886218755065777,-0.5664952375958267,-0.04265954592149804,1.0,0.14387181466706686,0.48915283395000364,-0.47922358492349393,,0.06250768193591459,-0.09351718433623755,,0.1200658557698378,-0.006371662866295475,-0.03550413194811344,-0.10064913612486374,0.038060702330905714,0.033009938559556015,0.17479048904202116,0.07649641711965618,-0.08135225904199093,0.19672026793870057,,0.029789363283660275,-0.07028283487097713,,0.0957614649329577,0.13218931295174258,0.22314743668960382,0.15123856619421286,-0.06349475654900026,0.06956514984880104,0.09720814392922482,0.18679486571746878,-0.0595642123291506,0.11576499149438056,-0.09129634054301364,0.14486457223633623,-0.177364773541981,,-0.04438626900907189,0.2142523570514175,0.018719076926178687
brand_mean_cents,-0.07920666255333256,0.08189251167687285,0.408642235393101,-0.01412132082123628,0.09355706081796357,-0.14213888663804403,0.49996273506888594,0.4087294812410182,0.4925876873600797,-0.14245333066353347,-0.14259581832224297,0.14387181466706686,1.0,0.041589603137150315,-0.12084288483335427,,-0.007075713888284802,0.32329335312375146,,0.14879427369514872,0.10279757400581208,0.027489949183376855,0.30369905435228506,0.18871388023403618,0.4515235619627855,0.03800915272414159,0.14131559271414945,0.19804821633088787,0.0732988836880711,,0.09439912449122592,0.34681402354049623,,0.07149464283732393,0.036579816417631736,0.029239580324545662,-0.13045317016799546,0.3372064841990849,-0.015179176720181155,0.12919399230574913,0.044162807884414616,-0.03760675325619085,0.18490236246795563,0.36162299481204185,-0.019806870054519515,0.22754189750772033,,0.4052567028216701,0.3426448847700857,-0.03266619966049428
station_minus_brand_mean_cents,-0.0068098263165010855,-0.07422184170880622,0.05464859519143205,0.05992653640092556,0.23558074558632208,-0.25190784900464863,0.39344865105112864,0.43785874714014705,0.4034224544248763,-0.4011775705726561,-0.06165877219918551,0.48915283395000364,0.041589603137150315,1.0,-0.06756522580677178,,0.062293820393093516,-0.07228713412144347,,0.08007560439179455,-0.006407364400260807,-0.004988475720722929,-0.10219918646443266,0.05236072092878193,0.021866009738854175,0.10998242131499233,0.03948615479812633,-0.06115449666488145,0.1341788761393914,,0.012720212264325799,-0.07962686908694083,,0.0822594680850632,0.09543959960390591,0.18049487096801844,0.07137673721461628,-0.04062577775381548,0.07752432722286662,0.06849706563231346,0.11598169119992505,-0.05349964235449949,0.09459436082187628,-0.04217596004409862,0.12937585252580405,-0.12293217709906722,,-0.017197542967440454,0.16433812523352306,-0.0158384278885886
stickiness_score,0.051774799073058105,0.07077728711692693,-0.24402306477450236,-0.08168554599664252,-0.051244862249440665,0.29825808941106297,-0.2679808074737284,-0.24834248730319908,-0.273259402760609,0.3616761365782467,0.05165578614056114,-0.47922358492349393,-0.12084288483335427,-0.06756522580677178,1.0,,-0.005738663189205821,0.08125475197121554,,0.030175518825616716,0.013447362005431892,0.09285732227337627,-0.019173815068344303,0.03810321429142204,0.025397341576970198,-0.01740456865334164,0.025677401605024065,0.05469374547309169,0.02583412179425032,,-0.024469266857491824,0.00837235417037253,,0.003186144773420119,0.030711652960724884,0.0058946668236485025,-0.09005276047705642,0.06209124096716023,0.037363189437080196,0.04064384084283982,0.022083300234900804,0.058831820820413175,-0.00010262614154318599,0.10308620632727818,0.031765893598800714,0.027331464955667344,,0.05590595472551535,0.011476975168765849,0.0636820904337766
days_since_trough_entry_bayside,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
days_since_trough_entry_blacktown,0.08760418562144154,-0.07314970795519839,-0.3409275120339062,0.04005245323543324,0.24950857841448887,-0.057857814161745916,-0.01648776493478951,0.06358850253489742,-0.028495582743822682,-0.09400522278904187,0.01424440592308806,0.06250768193591459,-0.007075713888284802,0.062293820393093516,-0.005738663189205821,,1.0,-0.47189433535440534,,0.568196246992264,0.4409787300459055,0.10475844167964149,-0.19029946467861805,0.6440134432210365,-0.22279304127233904,0.06751248042102057,0.17717062835910605,0.0719050695895428,0.5018683474471077,,-0.6541269283831637,-0.3400968500410954,,0.43558218191465353,0.15215591748251536,0.35720145383640173,0.34913838895590743,0.08796652120264187,0.42617038412094277,0.3634199971620744,0.19913809944598254,0.0357178356815209,0.5507893427622736,-0.20945767156826037,0.4192549478393136,-0.1585813289551497,,-0.24642480660399496,0.02576580206666044,0.1670006430073124
days_since_trough_entry_blue_mountains,0.13378342038394272,0.4150453546000768,0.48074803213359585,-0.3481394390532334,-0.29888832810914445,-0.051503939253200404,0.2633593963518087,0.2891755666907664,0.2880952485731642,0.19893437290666766,-0.36505203020034016,-0.09351718433623755,0.32329335312375146,-0.07228713412144347,0.08125475197121554,,-0.47189433535440534,1.0,,-0.26200847592890536,-0.000981627121803508,-0.168049680476522,0.3824124170923707,-0.14906665887753068,0.5906582494414091,-0.2562801625928944,0.0009410697054522323,0.46666567311542617,-0.22072043613611256,,0.4609429737919904,0.6034418580032119,,-0.14919364160728021,-0.18403388816800484,-0.30419877539848517,-0.37071586818966584,0.520894040468113,-0.31196142354690704,-0.06523302239968608,-0.20899668279949477,-0.08171917575412055,-0.15827963900857656,0.5510769442062975,-0.3195161415026681,0.29400451964431396,,0.5463939121833048,0.23006194215287432,-0.1298222407330237
days_since_trough_entry_botany_bay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
days_since_trough_entry_burwood,0.37133679899262356,0.2373856251815727,-0.2925649388395121,-0.07001766705489032,0.34827792825372766,0.05453749191918451,0.08798777804680225,0.29839000116360187,0.0861110685962705,-0.08449512235665797,-0.18382241490920467,0.1200658557698378,0.14879427369514872,0.08007560439179455,0.030175518825616716,,0.568196246992264,-0.26200847592890536,,1.0,0.4631044782217241,-0.02397982733297635,-0.158831779540038,0.6371221285053952,-0.04687733248485475,0.28658181001796945,0.3033224056486608,0.20186874659688575,0.7048917049430127,,-0.3433871498739939,-0.20879080724470342,,0.40687308619720214,0.4139161627831981,0.6064200210433089,0.2125962992906912,0.20972296462311865,0.5675939948274673,0.6036583671554517,0.4264340210907419,0.01654242342096223,0.5603098524878586,-0.08803705745935646,0.5609433803589283,-0.1179985777310586,,-0.14613297347579415,0.2721216665406776,0.26164132610584506
days_since_trough_entry_camden,0.35650156273629086,0.29907183156141487,-0.09698776742980061,-0.23657242972257278,0.19581559246554048,-0.00432353856655546,0.11948823391440026,0.2769893444341168,0.09087793521754939,-0.05147943840747266,-0.21794858994664293,-0.006371662866295475,0.10279757400581208,-0.006407364400260807,0.013447362005431892,,0.4409787300459055,-0.000981627121803508,,0.4631044782217241,1.0,-0.17808287739933354,0.2796373018026664,0.40647857338808635,0.2006582696523591,-0.1686948036872345,0.33251177018697203,0.521718480162405,0.4469586939369908,,-0.4492930271185445,0.11671100973955173,,0.22384719536275047,0.012524405448869982,0.12945750521318009,0.13026862742009318,0.46450373493602215,0.27141958906700003,0.5732408449299624,-0.017005128126587558,0.23237379175131875,0.44182772589366465,0.05570281087061324,0.20702366773516792,-0.0051008487966144956,,0.07835711177036035,0.25934908909899296,0.40406759933613473
days_since_trough_entry_campbelltown,-0.05597001263044081,-0.1754835170670304,-0.1932640127035828,0.13494176329386673,0.17132455536608798,-0.18580945562437953,-0.07653170202337047,-0.09707140539681744,-0.04916887180404647,0.02408470724953965,0.07839059107369789,-0.03550413194811344,0.027489949183376855,-0.004988475720722929,0.09285732227337627,,0.10475844167964149,-0.168049680476522,,-0.02397982733297635,-0.17808287739933354,1.0,-0.2765636390104304,0.08392850368764654,-0.07073287309308994,0.21589136356678978,0.037891246156521424,-0.21952630037903675,0.11317068326774507,,-0.034703377462642536,-0.21649396258455447,,0.24234320758948705,0.30751187720455847,0.12747211652937604,0.10372234875724082,-0.15049047310575567,0.1141202137633917,-0.04476452041690077,0.2980586597837541,-0.12014064147869838,0.2639916501378573,-0.10429316380241371,0.11329384747900725,-0.015774751815219215,,-0.008698591998610013,-0.05201511653765056,0.15429819789018306
days_since_trough_entry_canada_bay,-0.2928992010055541,0.056387134736712384,0.5022337849682875,-0.15775226636761433,-0.20528889376366238,0.035995465917021685,0.3140368485512951,0.16977757188057646,0.2628620566345538,0.0821018181035841,-0.02490608249128956,-0.10064913612486374,0.30369905435228506,-0.10219918646443266,-0.019173815068344303,,-0.19029946467861805,0.3824124170923707,,-0.158831779540038,0.2796373018026664,-0.2765636390104304,1.0,-0.17156238946751373,0.4101948674082682,-0.5250728994390662,-0.08517712044550516,0.3933347536881975,-0.25510666608333266,,-0.005968775820606369,0.7176792400007378,,-0.4559666028533386,-0.4943801596403795,-0.5454485802146022,-0.24693374254175954,0.33944114347131543,-0.37128468296422484,0.004390556879916622,-0.5260425955149607,0.27539900436324394,-0.22358028788765003,0.3948382510855845,-0.49779876779863874,0.487028049523923,,0.4068759319236261,0.1650152463351957,-0.09928690251439062
